18;Услуги печатные и услуги по копированию звуко- и видеозаписей, а также программных средств
69.10.17;"Услуги арбитража и примирения
Эта группировка включает:
- услуги по оказанию помощи через арбитраж или посредничество для разрешения споров между трудящимися и администрацией, между предприятиями или между частными лицами
Эта группировка не включает:
- услуги по представительству от имени одной из сторон в споре, см. 69.10.11 - 69.10.14
"
69.10.17.000;Услуги арбитража и примирения
69.10.18;"Услуги юридические, связанные с аукционами
Эта группировка включает:
- юридические услуги, связанные с продажей имущества на аукционах
Эта группировка не включает:
- услуги по продаже на аукционах, кроме таких услуг, связанных с правовыми процедурами, см. 82.99.19
"
69.10.18.000;Услуги юридические, связанные с аукционами
69.10.19;"Услуги юридические прочие
Эта группировка включает:
- услуги по хранению документов в качестве третьего лица и урегулированию имущественных споров;
- консультации клиентов, связанные с их законными правами и обязанностями;
- прочие правовые услуги, не включенные в другие группировки
"
69.10.19.000;Услуги юридические прочие
69.2;"Услуги в области бухгалтерского учета; по проведению финансового аудита; по налоговому консультированию"
69.20;"Услуги в области бухгалтерского учета; по проведению финансового аудита; по налоговому консультированию"
69.20.1;Услуги по проведению финансового аудита
69.20.10;"Услуги по проведению финансового аудита
Эта группировка включает:
- услуги по проведению независимой проверки бухгалтерской (финансовой) отчетности в целях выражения мнения о достоверности такой отчетности
Эта группировка не включает:
- услуги по ведению бухгалтерского учета, включая составление бухгалтерской (финансовой) отчетности, см. 69.20.21;
- аудиторскую проверку управления, см. 70.22.11
"
69.20.10.000;Услуги по проведению финансового аудита
69.20.2;"Услуги в области бухгалтерского учета
Эта группировка включает:
- услуги по ведению (восстановлению) бухгалтерского учета, включая составление бухгалтерской (финансовой) отчетности;
- бухгалтерское консультирование;
- услуги по принятию, своду и консолидации бухгалтерской отчетности;
- услуги по расчету и начислению заработной платы;
- услуги в области бухгалтерского (финансового) учета прочие
Эта группировка не включает:
- услуги по обработке данных, см. 63.11.11
"
69.20.21;"Услуги по ведению (восстановлению) бухгалтерского учета
Эта группировка включает:
- услуги по ведению (восстановлению) бухгалтерского учета, включая составление бухгалтерской (финансовой) отчетности, заключающейся в формировании документированной систематизированной информации об объектах бухгалтерского учета, и составлению на ее основе бухгалтерской (финансовой) отчетности
Эта группировка не включает:
- услуги по обработке данных, см. 63.11.11
"
69.20.21.000;Услуги по ведению (восстановлению) бухгалтерского учета
69.20.22;"Услуги по бухгалтерскому консультированию
Эта группировка включает:
- услуги по консультации вопросов по организации и (или) ведению бухгалтерского учета, включая вопросы по составлению и представлению бухгалтерской (финансовой) отчетности на основе информации, предоставленной клиентом;
- услуги по консультации вопросов организации внутреннего контроля
Достоверность составляемых отчетов при этом не гарантируется
Эта группировка не включает:
- услуги по обработке данных, см. 63.11.11;
- услуги по составлению налоговых расчетов и деклараций, предоставляемые в качестве отдельной услуги, см. 69.20.3
"
69.20.22.000;Услуги по бухгалтерскому консультированию
69.20.23;"Услуги по принятию, своду и консолидации бухгалтерской (финансовой) отчетности
Эта группировка включает:
- услуги по принятию бухгалтерской (финансовой) отчетности от подведомственных учреждений клиента;
- услуги бухгалтерского учета по составлению на основе отчетности подведомственных учреждений клиента сводной и консолидированной бухгалтерской (финансовой) отчетности
Эта группировка не включает:
- услуги по ведению (восстановлению) бухгалтерского учета, см. 69.20.21;
- услуги по обработке данных, см. 63.11.11;
- услуги по заработной плате, в том числе расчет заработной платы и формирование соответствующих регистров, см. 69.20.24;
- услуги в области бухгалтерского учета, относящиеся к составлению налоговых расчетов и деклараций, см. 69.20.3;
- услуги по сбору платежей по счетам, см. 82.91.12
"
69.20.23.000;Услуги по принятию, своду и консолидации бухгалтерской (финансовой) отчетности
69.20.24;"Услуги по расчету и начислению заработной платы
Эта группировка включает:
- услуги по расчету и начислению заработной платы, формирование первичных документов по учету заработной платы и ее выплатам, включая расчет обязательных налогов с доходов физических лиц и платежей во внебюджетные фонды, с формированием необходимых налоговых и иных расчетов (документов)
Эта группировка не включает:
- услуги в области налогового консультирования, относящиеся к составлению налоговых расчетов и деклараций, см. 69.20.3
"
69.20.24.000;Услуги по расчету и начислению заработной платы
69.20.29;"Услуги в области бухгалтерского учета прочие
Эта группировка включает:
- услуги по организации внутреннего контроля, учетной политике экономического субъекта и иных услуг в области бухгалтерского учета
Эта группировка не включает:
- услуги по ведению (восстановлению) бухгалтерского учета, см. 69.20.21
"
69.20.29.000;Услуги в области бухгалтерского учета прочие
69.20.3;"Услуги в области налогового консультирования
Эта группировка включает:
- налоговое консультирование;
- представление клиентов в налоговых органах, в том числе подготовка налоговой документации
"
69.20.31;"Услуги по налоговому консультированию и подготовка налоговой документации для юридических лиц
Эта группировка включает:
- консультирование по налогообложению юридических лиц;
- представление юридических лиц в налоговых органах, в том числе подготовка налоговой документации для юридических лиц
"
69.20.31.000;Услуги по налоговому консультированию и подготовка налоговой документации для юридических лиц
69.20.32;"Услуги по налоговому консультированию и подготовка налоговой документации для физических лиц
Эта группировка включает:
- консультирование по налогообложению физических лиц;
- представление физических лиц в налоговых органах, в том числе подготовка налоговой документации по налогам физических лиц
"
69.20.32.000;Услуги по налоговому консультированию и подготовка налоговой документации для физических лиц
69.20.4;Услуги, связанные с неплатежеспособностью и взысканием задолженности
69.20.40;"Услуги, связанные с неплатежеспособностью и взысканием задолженности
Эта группировка включает:
- консультации и помощь для руководства и/или кредиторов неплатежеспособного предприятия и/или принятие мер в качестве ликвидатора или управляющего имуществом неплатежеспособного предприятия
"
69.20.40.000;Услуги, связанные с неплатежеспособностью и взысканием задолженности
70.22.2;Услуги по вопросам руководства проектами прочие, кроме руководства строительными проектами
70.22.20;"Услуги по вопросам руководства проектами прочие, кроме руководства строительными проектами
Эта группировка включает:
- услуги по координации ресурсов и контролю за их использованием в процессе подготовки, осуществления и завершения проекта по поручению клиента услуги по руководству проектами, которые могут включать бюджетный контроль, контроль за отчетностью и расходами, закупки, планирование графика работ и прочих условий работ, координацию работы субподрядчиков, проверку и контроль качества и т.д.;
- услуги по руководству проектами, которые включают услуги по вопросам управления и административные услуги с предоставлением или без предоставления своего персонала
Эта группировка не включает:
- услуги по руководству строительными проектами, см. 71.12.20
"
70.22.20.000;Услуги по вопросам руководства проектами прочие, кроме руководства строительными проектами
71.12;Услуги в области инженерно-технического проектирования и связанные технические консультативные услуги
71.12.1;"Услуги инженерно-технического характера
Эта группировка не включает:
- услуги по научным исследованиям и экспериментальным разработкам в области технических наук, см. 72.19.2
"
71.12.11;"Услуги в виде научно-технических консультаций
Эта группировка включает:
- предоставление консультаций и рекомендаций клиентам по вопросам инженерных принципов и методов независимо от инженерного проекта, включая анализ стратегии, исследования, связанные с законодательным регулированием, и проверки;
- дачу свидетельских показаний свидетелем, который на основании опыта, обучения, умения или знаний в области инженерного дела считается компетентным для предоставления обоснованной точки зрения по таким вопросам;
- инженерное исследование неисправной инженерной системы или конструкции для определения причинных факторов
Эта группировка также включает:
- инженерно-технические консультации по энергосбережению и повышению энергетической эффективности;
- энергосервис
Эта группировка не включает:
- рекомендации, исследования и отчеты, предоставленные в связи с отдельным проектом, см. классификацию на основе типа проекта в группировках 71.12.12 - 71.12.19
"
71.12.11.100;Услуги в виде инженерно-технических консультаций по энергосбережению и повышению энергетической эффективности
71.12.11.900;Услуги в виде инженерно-технических консультаций прочие
71.12.12;"Услуги по инженерно-техническому проектированию зданий
Эта группировка включает:
- создание чертежей, планов и проведение исследований, связанных с проектами жилищного строительства, такими как проекты, связанные с новыми и существующими домами, домами строчной застройки, квартирами и т.п., многофункциональными зданиями, преимущественно используемыми для жилья;
- создание чертежей, планов и проведение исследований, связанных со строительными проектами новых и существующих торговых, общественных и учрежденческих зданий, включая многофункциональные здания, преимущественно используемые для торговых, общественных или учрежденческих целей, таких как: офисные здания, торговые центры, гостиницы и рестораны, станции обслуживания и склады, автобусные и грузовые терминалы, больницы, школы, церкви, тюрьмы, стадионы и зрелищно-спортивные сооружения с центральной ареной, библиотеки и музеи;
- инженерные консультативные услуги, связанные с конкретным проектом строительства жилого, коммерческого, общественного или учрежденческого здания или сооружения
Эта группировка также включает:
- услуги, связанные с разработкой инженерно-технической проектной документации по консервации, ремонту, реставрации, приспособлению и воссозданию зданий, являющихся объектами культурного наследия;
- услуги, связанные с разработкой проектной документации по инженерному укреплению зданий, являющихся объектами культурного наследия
Эта группировка не включает:
- инженерные консультативные услуги, не связанные с конкретным проектом, см. 71.12.11;
- услуги в области ландшафтной архитектуры, связанные с разработкой инженерно-технической проектной документации по консервации, ремонту, реставрации, приспособлению и воссозданию объектов культурного наследия, см. 71.11.41
"
71.12.12.110;"Услуги по проектированию (включая изыскания) объектов использования атомной энергии
Эта группировка не включает:
- услуги по проведению экспертизы проектной документации и результатов инженерных изысканий, см. 71.20.19.110;
- услуги по проведению государственной экспертизы проектной документации и результатов инженерных изысканий, см. 71.20.19.111
"
71.12.12.120;Услуги по строительному надзору при строительстве и реконструкции объектов федеральных ядерных организаций
71.12.12.130;"Услуги, связанные с разработкой инженерно-технической проектной документации по консервации, ремонту, реставрации, приспособлению и воссозданию зданий, являющихся объектами культурного наследия
Эта группировка также включает:
- услуги, связанные с разработкой проектной документации по инженерному укреплению зданий, являющихся объектами культурного наследия
Эта группировка не включает:
- услуги в области ландшафтной архитектуры, связанные с разработкой инженерно-технической проектной документации по консервации, ремонту, реставрации, приспособлению и воссозданию объектов культурного наследия, см. 71.11.41
"
71.12.12.190;Услуги по инженерно-техническому проектированию зданий прочие, не включенные в другие группировки
71.12.13;"Услуги по инженерно-техническому проектированию систем энергоснабжения
Эта группировка включает:
- инженерные услуги, связанные с объектами, на которых вырабатывается: электроэнергия из угля и прочих ископаемых видов топлива, таких как нефть и газ; электроэнергия из ядерного топлива; энергия падающей воды; прочая энергия, такая как солнечная энергия, энергия ветра, геотермальная энергия, включая энергию, вырабатываемую на теплоэлектроцентралях;
- инженерные услуги, связанные с надземными или подземными линиями электропередачи и распределения электроэнергии
"
71.12.13.000;Услуги по инженерно-техническому проектированию систем энергоснабжения
71.12.14;"Услуги по инженерно-техническому проектированию тоннелей, автомагистралей, улиц, транспортных развязок и подобных объектов
Эта группировка включает:
- все инженерные услуги (включая составление чертежей, планов и проведение исследований), связанные с автомагистралями, дорогами и улицами, включая надземные автомагистрали, используемые для движения автодорожных транспортных средств; мостами и тоннелями; вспомогательными дорожно-транспортными сооружениями, такими как площадки отдыха у дороги, станции взвешивания, пункты платы за проезд; системами общественного транспорта, такими как системы легкорельсового транспорта или метрополитена; железными дорогами и с ними связанными конструкциями;
железнодорожными мостами и тоннелями; морскими и внутренними портами; портами, шлюзами, каналами и плотинами, главным образом используемыми для транспортировочных целей; аэропортами, взлетно-посадочными полосами, ангарами, прочими авиационными сооружениями; проектами в области космического транспорта; проектами по транспортировке нефти и газа; прочими проектами в области транспорта, не включенными в другие группировки
Эта группировка также включает:
- услуги по разработке инженерно-технической проектной документации по консервации, ремонту, реставрации, приспособлению и воссозданию транспортных сооружений, являющихся объектами культурного наследия, например, гидротехнических и портовых сооружений, мостов, тоннелей и т.п.;
- услуги по разработке проектной документации по инженерному укреплению транспортных сооружений, являющихся объектами культурного наследия
"
71.12.14.100;Услуги по инженерно-техническому проектированию тоннелей, автомагистралей, улиц, транспортных развязок и подобных объектов, кроме объектов культурного наследия
71.12.14.200;"Услуги по инженерно-техническому проектированию транспортных сооружений, являющихся объектами культурного наследия
Эта группировка включает:
- услуги по разработке инженерно-технической проектной документации по консервации, ремонту, реставрации, приспособлению и воссозданию транспортных сооружений, являющихся объектами культурного наследия, например, гидротехнических и портовых сооружений, мостов, тоннелей и т.п.;
- услуги по разработке проектной документации по инженерному укреплению транспортных сооружений, являющихся объектами культурного наследия
"
71.12.15;"Услуги по инженерно-техническому проектированию заводов по переработке промышленных и твердых бытовых отходов (опасных и неопасных)
Эта группировка включает:
- инженерные услуги, связанные с системами сбора и удаления бытовых отходов, такими как: установки для переработки отходов, установки для компостирования отходов, перевалочные станции, рекуперационные установки, свалки мусора;
- инженерные услуги, связанные с программами по сбору, очистке, переработке и удалению промышленных источников загрязнения атмосферы, воды и твердых отходов, обычно до такого уровня, по достижении которого остаточный поток отходов можно без риска выпустить в природную среду или обычные муниципальные системы;
- инженерные услуги, связанные с программами очистки опасных отходов, такими как: программы по обработке и удалению радиоактивных отходов, программы по уничтожению отравляющих веществ, программы по перепланировке и новой застройке старого промышленного района, программы по моделированию грунтовых вод, программы рекультивации загрязненных участков
"
71.12.15.000;Услуги по инженерно-техническому проектированию заводов по переработке промышленных и твердых бытовых отходов (опасных и неопасных)
71.12.16;"Услуги по инженерно-техническому проектированию объектов водоснабжения и канализации
Эта группировка включает:
- инженерные услуги, связанные с системами сбора, распределения, очистки и удаления воды, такими как: системы распределения питьевой воды, насосные станции, резервуары, сооружения водохранилищ, магистральные трубопроводы для подачи и распределения воды, включая запруды, преимущественно используемые для местного распределения питьевой воды и опреснительных установок, системы для управления ливневыми сточными водами, дренажные системы и системы противопаводочных водохранилищ, включая плотины, преимущественно используемые для регулирования паводкового стока, системы сбора, очистки и удаления сточных вод, оросительные системы и водопроводы, включая плотины, преимущественно используемые для орошения, применение законов физики и инженерных принципов при проектировании, разработке и использовании машин, материалов, инструментов, структур, процессов и систем
"
71.12.16.000;Услуги по инженерно-техническому проектированию производственных процессов и производств
71.12.17;"Услуги по инженерно-техническому проектированию производственных процессов и производств
Эта группировка включает:
- инженерные услуги, связанные с промышленными объектами и процессами: объектами горнодобывающей
и металлургической промышленности, такими как шахты, металлургические комбинаты, прокатные цеха, заводы по переработке минеральных ресурсов, включая комплексные инженерно-технические проекты, объединяющие сооружения и процессы; процессами в области горнодобывающей и металлургической промышленности, такими как добыча минеральных полезных ископаемых, выплавка, перегонка, обработка металлов без снятия стружки нефтяными и нефтехимическими сооружениями, такими как нефтяные и газовые платформы, нефтеперерабатывающие заводы, трубопроводы, нефтехимические заводы, включая комплексные инженерно-технические проекты, объединяющие сооружения и процессы; процессами производства нефти и продуктов нефтехимии, такими как добыча, перегонка, приготовление составов, смешивание; объектами и процессами в области микроэлектроники, например, для производства микропроцессоров, кремниевых кристаллов и пластин, интегральных схем и полупроводников; объектами и процессами для текстильного производства и производства одежды; объектами и процессами для производства черных металлов; прочими промышленными объектами и процессами, не включенными в другие группировки;
- инженерные услуги, связанные с проектированием промышленных изделий и продуктов фабричного производства: промышленного оборудования, такого как сельскохозяйственное, строительное, горнодобывающее, металлообрабатывающее, торговое оборудование и оборудование для обслуживания, отопительное, вентиляционное оборудование и оборудование для кондиционирования воздуха, оборудование для передачи энергии электронного оборудования, такого как компьютеры и периферийное оборудование, оборудование связи, аудио- и видеооборудование, полупроводники и прочие электронные компоненты электрооборудования, такого как осветительные приборы, крупные и мелкие электробытовые приборы и их составные части; транспортного оборудования, такого как автотранспортные средства, воздушные суда, поезда, морские суда, космические суда; промышленные изделия и продукты фабричного производства, не включенные в другие группировки
Эта группировка не включает:
- услуги в области промышленного дизайна, см. 74.10.12
"
71.12.17.000;Услуги по инженерно-техническому проектированию производственных процессов и производств
71.12.18;"Услуги по инженерно-техническому проектированию объектов связи, телевидения и радиовещания
Эта группировка включает:
- инженерные услуги, связанные с системами передачи голосовых сообщений и данных между пунктами сетевого окончания по медным проводам, оптоволоконным кабелям, коаксиальным кабелям и гибридным оптико-коаксиальным кабелям;
- инженерные услуги, связанные с системами передачи голосовых сообщений, данных и программ между пунктами сетевого окончания с помощью коротких волн или микроволн, такими как: системы радиотелефонной связи, системы спутниковой радиосвязи, спутниковые системы прямого вещания;
- инженерные услуги, связанные с системами передачи радио- и телевизионных сигналов;
- инженерные услуги, связанные с системами передачи или рассылки голосовых сообщений, данных или программ, не включенными в другие группировки
"
71.12.18.000;Услуги по инженерно-техническому проектированию объектов связи, телевидения и радиовещания
71.12.19;"Услуги по инженерно-техническому проектированию прочих объектов
Эта группировка включает:
- инженерные услуги, связанные с проектами по распределению природного газа и пара прочими коммунальными проектами, не включенными в другие группировки;
- инженерные услуги, связанные с системами, процессами, средствами или продуктами, не включенные в другие группировки, включая предоставление с ними связанных проектов, планов и исследований
Эта группировка также включает:
- услуги по разработке инженерно-технической проектной документации по консервации, ремонту, реставрации, приспособлению и воссозданию прочих сооружений, являющихся объектами культурного наследия, таких, например, как колонны, колоннады, триумфальные арки, памятники историческим деятелям и деятелям культуры, стелы и т.п.;
- услуги по разработке проектной документации по инженерному укреплению прочих сооружений, являющихся объектами культурного наследия
"
71.12.19.100;Услуги по инженерно-техническому проектированию прочих объектов, кроме объектов культурного наследия
71.12.19.200;"Услуги по инженерно-техническому проектированию прочих объектов культурного наследия, не включенных в другие группировки
Эта группировка включает:
- услуги по разработке инженерно-технической проектной документации по консервации, ремонту, реставрации, приспособлению и воссозданию прочих сооружений, являющихся объектами культурного наследия, таких, например, как колонны, колоннады, триумфальные арки, памятники историческим деятелям и деятелям культуры, стелы и т.п.;
- услуги по разработке проектной документации по инженерному укреплению прочих сооружений, являющихся объектами культурного наследия
"
71.12.2;Услуги по руководству строительными проектами
71.12.20;"Услуги по руководству строительными проектами
Эта группировка включает:
- услуги, связанные с принятием по поручению клиента общей ответственности за успешное выполнение строительного проекта, включая организацию финансирования и проектирования, подачу конкурсных заявок и выполнение управленческих и контрольных функций;
- услуги по руководству проектами, предоставляемые инженерами или архитекторами
Эта группировка также включает:
- услуги по авторскому и техническому надзору при проведении работ по сохранению и воссозданию объекта культурного наследия
Эта группировка не включает:
- общие строительные работы, см. разделы 41, 42
"
71.12.20.110;Услуги заказчика-застройщика, генерального подрядчика
71.12.20.120;Услуги по авторскому и техническому надзору при проведении работ по сохранению и воссозданию объекта культурного наследия
71.12.20.190;Услуги по руководству строительными проектами прочие
71.12.3;Услуги в области геологических, геофизических и взаимосвязанных изыскательных работ и консультативные услуги
71.12.31;"Услуги геологические и геофизические консультативные
Эта группировка включает:
- геологические консультативные услуги по вопросам определения местонахождения запасов твердых полезных ископаемых, нефти, газа и подземных вод путем геологического изучения недр, лабораторных исследований полезных ископаемых и горных пород;
- предоставление консультаций по вопросам исследования и разработки минеральных запасов, запасов нефти и природного газа;
- консультативные услуги по вопросам оценки геологических, геофизических и геохимических аномалий;
- консультативные услуги геологического картирования или изысканий на поверхности или под нею
"
71.12.31.000;Услуги геологические и геофизические консультативные
71.12.32;"Услуги геофизические
Эта группировка включает:
- услуги по предоставлению информации о подповерхностных формациях путем применения следующих различных методов: сейсмографических, гравиметрических, магнитометрических методов, прочих методов исследования подповерхностных слоев
Эта группировка не включает:
- работы по структурно-поисковому бурению, см. 43.13.10
"
71.12.32.000;Услуги геофизические
71.12.33;"Услуги по разведке полезных ископаемых и оценке их месторождений
Эта группировка не включает:
- разведочное бурение, связанное с добычей нефти и природного газа, см. 09.10.11
"
71.12.33.100;Услуги по разведке полезных ископаемых, содержащих ядерные материалы и радиоактивные вещества, и оценке их месторождений
71.12.33.900;Услуги по разведке прочих полезных ископаемых и оценке их месторождений, не включенные в другие группировки
71.12.34;"Услуги по изучению земной поверхности
Эта группировка включает:
- услуги по сбору информации о форме, расположении и/или границах участка земной поверхности различными методами, включая обход, фотограмметрические и гидрографические обследования с целью подготовки карт, сбор данных при помощи искусственных спутников Земли;
- землемерные и топографические услуги (например, обозначение границ земельной собственности, демаркация границ)
Эта группировка также включает:
- изыскательские работы в целях сохранения и воссоздания объектов культурного наследия: землемерные и топографические услуги;
- услуги (работы) по определению границ территорий объектов культурного и археологического наследия
Эта группировка не включает:
- услуги аэрофотосъемки, см. 74.20.24
"
71.12.34.110;"Услуги в области землеустройства
Эта группировка также включает:
- услуги (работы) по определению границ территорий объектов культурного и археологического наследия
"
71.12.34.120;Услуги в области изучения земной поверхности, кроме услуг в области землеустройства
71.12.35;"Услуги в области картографии
Эта группировка включает:
- услуги по составлению карт, включающие создание и обновление карт всех видов (например, дорожных, кадастровых, топографических, планиметрических, гидрографических) с использованием результатов работ по обследованию местности, других карт и прочих источников информации
Эта группировка не включает:
- издание карт и атласов в печатной форме, см. 58.11.15 и 58.11.16
"
71.12.35.110;Услуги в области кадастровой деятельности
71.12.35.120;Услуги в области картографии, кроме услуг в области кадастровой деятельности
71.12.39;"Услуги в области геологических, геофизических и взаимосвязанных изыскательных работ прочие, не включенные в другие группировки
Эта группировка также включает:
- изыскательские работы в целях сохранения и воссоздания объектов культурного наследия: геологические, геофизические и взаимосвязанные изыскательские работы
"
71.12.39.110;Услуги в области гидрометеорологии и смежных с ней областях
71.12.39.111;Услуги наблюдательной гидрометеорологической сети
71.12.39.112;Работы гелиофизические и геофизические
71.12.39.113;Услуги по мониторингу загрязнения окружающей среды для физических и юридических лиц
71.12.39.114;Работы полевые и изыскания в области гидрометеорологии и смежных с ней областях, экспедиционные обследования объектов окружающей среды с целью оценки уровней загрязнения
71.12.39.115;Услуги по обработке и предоставлению гидрометеорологической информации органам государственной власти и населению
71.12.39.116;Услуги по гидрометеорологическому обеспечению деятельности физических и юридических лиц
71.12.39.117;Услуги, связанные с активными воздействиями на метеорологические и геофизические процессы и явления
71.12.39.119;"Услуги в области гидрометеорологии и смежных с ней областях прочие
Эта группировка также включает:
- изыскательские работы в целях сохранения и воссоздания объектов культурного наследия: в области гидрометеорологии и смежных с ней областях
"
71.12.4;Услуги в области технического регулирования, стандартизации, метрологии, аккредитации, каталогизации продукции
71.12.40;Услуги в области технического регулирования, стандартизации, метрологии, аккредитации, каталогизации продукции
71.12.40.110;"Услуги в области технического регулирования и стандартизации
Эта группировка включает:
- услуги по разработке технических регламентов, содердащих обязательные требования к продукции, процессам ее производства, эксплуатации, хранения, перевозки, реализации и утилизации, требования к терминологии, упаковке, маркировке, этикеткам и правилам их нанесения;
- услуги по разработке национальных стандартов, правил стандартизации, норм и рекомендаций в области стандартизации, применяемых в установленном порядке классификаций, стандартов организаций, сводов правил;
- услуги по разработке и ведению общероссийских классификаторов технико-экономической и социальной информации;
- услуги по разработке и ведению Федерального информационного фонда технических регламентов и стандартов
"
71.12.40.111;Услуги по техническому регулированию в области использования атомной энергии
71.12.40.112;Услуги по стандартизации в области использования атомной энергии
71.12.40.119;Услуги по техническому регулированию и стандартизации, кроме услуг по техническому регулированию и стандартизации в области использования атомной энергии
71.12.40.120;"Услуги в области метрологии
Эта группировка включает:
- услуги по передаче размера единиц физических величин;
- услуги по испытаниям, проверке и калибровке средств измерений;
- услуги по разработке методик выполнения измерений и оценке точности измерений;
- услуги в области метрологии и прочие
"
71.12.40.121;Услуги по обеспечению единства измерений в области использования атомной энергии
71.12.40.129;Услуги в области метрологии прочие, не включенные в другие группировки
71.12.40.130;Услуги в области аккредитации
71.12.40.131;Услуги по аккредитации в области использования атомной энергии
71.12.40.139;Услуги в области аккредитации прочие, не включенные в другие группировки
71.12.40.140;Услуги государственного контроля (надзора) за соблюдением требований технических регламентов
71.12.40.141;Услуги по контролю (надзору) за соблюдением технического регулирования в области использования атомной энергии
71.12.40.149;Услуги государственного контроля (надзора) за соблюдением требований технических регламентов прочие, не включенные в другие группировки
71.12.40.150;Услуги федерального государственного метрологического надзора
71.12.40.160;"Услуги в области каталогизации продукции
Эта группировка включает:
- услуги по разработке каталогов на финальную продукцию;
- услуги по разработке каталожных описаний предметов снабжения;
- услуги в области каталогизации продукции прочие
"
